Date,Price,Open,High,Low,Vol,Change %
10/17/2024,43.81,43.65,44.01,43.26,623.51,0.60%
10/16/2024,43.55,44.23,44.25,43.12,557.26,-1.02%
10/15/2024,44,44.08,44.51,43.15,934.86,0.32%
10/14/2024,43.86,44,44.48,43.58,815.38,-0.23%
10/11/2024,43.96,43.96,44.45,43.42,947.7,0.96%
10/10/2024,43.54,41.99,43.6,41.86,1.11,2.16%
10/09/2024,42.62,41.66,43.23,41.66,1.01,2.43%
10/08/2024,41.61,41.95,42.43,41.58,1.01,-0.26%
10/07/2024,41.72,42.89,42.98,41.34,908.78,-2.75%
10/04/2024,42.9,40.7,42.94,40.5,1.11,8.53%
10/03/2024,39.53,39.12,39.93,38.84,614.89,-0.75%
10/02/2024,39.83,38.51,39.85,38.42,840.31,3.11%
10/01/2024,38.63,40.38,40.38,38.39,1.04,-4.36%
09/30/2024,40.39,40.64,41.34,40,716.61,-1.51%
09/27/2024,41.01,42.07,42.52,40.73,1.53,-2.03%
09/26/2024,41.86,40.99,42.15,39.84,4.19,2.70%
09/25/2024,40.76,41.02,41.26,40.3,1.05,-0.85%
09/24/2024,41.11,41.26,41.98,40.44,781.38,0.05%
09/23/2024,41.09,43.27,43.27,39.2,2.63,-4.95%
09/20/2024,43.23,42.38,43.88,42.22,4.03,2.37%
09/19/2024,42.23,41.47,42.24,40.93,1.4,3.56%
09/18/2024,40.78,41.17,41.93,40.71,1.06,-0.46%
09/17/2024,40.97,41.05,41.5,40.6,1.05,1.21%
09/16/2024,40.48,40.49,40.87,40.03,786.7,0.37%
09/13/2024,40.33,40,41.56,40,1.15,0.40%
09/12/2024,40.17,39.67,41,39.67,1.66,1.16%
09/11/2024,39.71,37.9,40.42,37.48,2.2,5.16%
09/10/2024,37.76,39,39.22,37.25,1.43,-2.88%
09/09/2024,38.88,36.92,39.4,36.78,2.39,6.81%
09/06/2024,36.4,36.33,36.69,35.64,1.54,0.64%
09/05/2024,36.17,35.87,36.7,35.64,494.14,0.81%
09/04/2024,35.88,35.05,36,34.84,626.39,1.21%
09/03/2024,35.45,36.73,37.17,35.08,878.09,-5.29%
08/30/2024,37.43,37.8,37.97,36.99,634.36,0.24%
08/29/2024,37.34,36.59,38.13,36.59,762.16,3.06%
08/28/2024,36.23,37.11,37.39,35.86,779.45,-2.92%
08/27/2024,37.32,37.16,37.55,36.65,704.33,-0.35%
08/26/2024,37.45,38.06,38.49,37.11,1.26,-1.45%
08/23/2024,38,36.98,38.83,36.66,1.36,3.88%
08/22/2024,36.58,37.09,37.74,36.4,855.9,-2.06%
08/21/2024,37.35,37.44,37.55,36.79,949,-0.08%
08/20/2024,37.38,37.91,38.21,37.12,884.1,-1.58%
08/19/2024,37.98,37.79,38.1,37.12,865.83,1.15%
08/16/2024,37.55,36.5,37.87,36.01,1.15,2.54%
08/15/2024,36.62,36.6,37.49,36.35,1.15,0.91%
08/14/2024,36.29,36,37.01,35.61,1.74,1.06%
08/13/2024,35.91,34,35.95,33.85,2.1,5.87%
08/12/2024,33.92,32.5,34.26,31.78,2.26,4.14%
08/09/2024,32.57,30.32,33.91,29.57,5.16,11.92%
08/08/2024,29.1,27.32,29.16,26.82,3.58,5.05%
08/07/2024,27.7,28.64,29.06,27.61,1.69,-0.40%
08/06/2024,27.81,27.45,27.84,27.08,1.39,1.98%
08/05/2024,27.27,26.79,28.25,26.63,1.45,-4.95%
08/02/2024,28.69,28.82,29.33,27.83,2.46,-7.00%
08/01/2024,30.85,32.92,32.92,30.59,1.25,-6.88%
07/31/2024,33.13,32.78,33.96,32.42,1.68,4.18%
07/30/2024,31.8,32.47,32.81,31.46,837.95,-2.06%
07/29/2024,32.47,32.57,32.81,32.01,862.61,0.90%
07/26/2024,32.18,32.92,32.93,31.65,693.92,-0.31%
07/25/2024,32.28,30.99,33.1,30.8,1.06,4.23%
07/24/2024,30.97,32.25,32.4,30.94,941.72,-4.24%
07/23/2024,32.34,32.4,33.17,32.22,1.31,0.15%
07/22/2024,32.29,33.1,33.24,31.63,1.96,-1.61%
07/19/2024,32.82,33.4,33.68,32.5,780.3,-1.68%
07/18/2024,33.38,34.31,34.44,32.82,1.48,-1.88%
07/17/2024,34.02,34.05,34.93,33.48,971.13,-2.02%
07/16/2024,34.72,33.96,34.78,33.28,1.21,3.27%
07/15/2024,33.62,33.47,33.91,32.95,1.05,1.27%
07/12/2024,33.2,33.07,33.6,32.84,821.51,-0.27%
07/11/2024,33.29,31.44,33.52,31.09,1.9,6.15%
07/10/2024,31.36,32.4,32.48,31.05,1.94,-3.24%
07/09/2024,32.41,34.37,34.59,32.39,1.22,-6.52%
07/08/2024,34.67,34.72,35.11,34.21,927.12,-0.14%
07/05/2024,34.72,34.66,35.55,34.43,727.67,-0.32%
07/03/2024,34.83,35.34,35.66,34.63,362.18,-0.97%
07/02/2024,35.17,34.89,35.35,34.72,828.32,1.44%
07/01/2024,34.67,34.61,34.99,34.12,701.99,-0.23%
06/28/2024,34.75,34,34.94,33.91,1.94,2.60%
06/27/2024,33.87,33.38,34.13,33.16,817.3,1.74%
06/26/2024,33.29,32.15,33.46,32.03,789.43,3.19%
06/25/2024,32.26,32.58,32.89,32.02,981.47,-0.92%
06/24/2024,32.56,33.63,33.74,32.55,989.35,-3.84%
06/21/2024,33.86,33.05,34.32,32.67,2.23,0.27%
06/20/2024,33.77,34.97,34.97,33.74,1.08,-2.82%
06/18/2024,34.75,35.45,36.12,34.74,1.48,-2.42%
06/17/2024,35.61,34.83,35.81,34.58,957.45,1.66%
06/14/2024,35.03,35.66,35.83,34.86,1.31,-3.66%
06/13/2024,36.36,38.82,38.95,36.14,1.7,-6.31%
06/12/2024,38.81,38.36,39.65,38.23,1.3,3.58%
06/11/2024,37.47,36.44,37.53,36.12,1.2,2.10%
06/10/2024,36.7,37.11,37.32,36.31,884.13,-1.74%
06/07/2024,37.35,37.48,37.85,37.1,815.28,-1.61%
06/06/2024,37.96,37.31,38.07,37.31,742.28,1.20%
06/05/2024,37.51,37.13,37.7,36.71,697.38,1.87%
06/04/2024,36.82,36.33,37.16,36.1,852.49,0.52%
06/03/2024,36.63,37.17,37.28,35.91,1.27,-1.13%
05/31/2024,37.05,36.93,37.2,36.16,1.25,0.68%
05/30/2024,36.8,36.31,36.93,36.03,1.23,0.82%
05/29/2024,36.5,36.69,37.12,35.5,1.49,-2.22%
05/28/2024,37.33,36.65,37.42,36.15,1.15,3.15%
05/24/2024,36.19,36.63,37,36.13,499.64,-0.47%
05/23/2024,36.36,38.16,38.25,36.2,979.52,-3.73%
05/22/2024,37.77,38.22,38.55,37.43,750.52,-2.55%
05/21/2024,38.76,37.58,38.79,37.41,923.11,2.59%
05/20/2024,37.78,37.4,37.94,37.01,919.75,2.11%
05/17/2024,37,37.42,37.48,36.65,1.29,-0.86%
05/16/2024,37.32,38.74,38.77,37.07,1.43,-3.74%
05/15/2024,38.77,40.28,40.28,38.72,1.52,-1.60%
05/14/2024,39.4,38.15,40.29,38.04,2.71,4.59%
05/13/2024,37.67,36.51,37.71,34.99,2.81,4.90%
05/10/2024,35.91,33.81,35.98,33.5,4.14,10.22%
05/09/2024,32.58,33.65,33.68,32.44,2.21,-3.24%
05/08/2024,33.67,34,34.83,33.64,1.79,-3.33%
05/07/2024,34.83,34.83,35.25,34.48,1.42,-0.06%
05/06/2024,34.85,34.81,35.17,34.3,12.51,1.78%
05/03/2024,34.24,36,36.45,33.94,1.88,-3.11%
05/02/2024,35.34,35.88,36,34.34,2.18,-0.53%
05/01/2024,35.53,35.68,36.59,34.83,3.93,8.13%
04/30/2024,32.86,33.68,34.01,32.77,999.53,-3.47%
04/29/2024,34.04,33.81,34.19,33.51,698.26,1.58%
04/26/2024,33.51,32.86,33.82,32.58,826.8,3.30%
04/25/2024,32.44,32.02,32.45,31.42,909.04,-1.76%
04/24/2024,33.02,33.02,33.42,32.57,599.26,0.95%
04/23/2024,32.71,32.36,33,31.81,913.47,0.80%
04/22/2024,32.45,32.47,32.9,31.77,859.14,0.06%
04/19/2024,32.43,32.81,33.28,32.21,1.14,-1.52%
04/18/2024,32.93,33.23,33.85,32.8,742.65,-0.90%
